Datetime,Tweet Id,Text,Username
2022-10-05 23:56:11+00:00,1577809909533523974,"$TWTR one of the most mentioned on wallstreetbets over the last 24 hoursVia https://t.co/TyWnBqE0Co#twtr    #wallstreetbets  #trading https://t.co/Wlldj0GarZ",topstonks
2022-10-05 23:51:36+00:00,1577808756137611264,"💎🤲🐕💰📈🚀✨🌙🤣

#cryptonews #crypto #bitcoin  #robinhood #doge $doge #dogecoin #cnbc #ElonMusk #tesla #spacex #dogearmy #twitter #TWTR #btc https://t.co/jq6N7rr4lv",DogeofFremontst
2022-10-05 23:36:33+00:00,1577804967305531397,"🔥 Maari and Heir called them Garugi (Expatriate).

✅ Some of his sons (Guardian) said Old Fathers.

💢 They marched with the Sons of the East in the Period of Marches. They were among the bad.

For more
https://t.co/V7cYYSytdO

#Garugi #TWTR 
#ShaarMining #MetaRPG https://t.co/jAfOqBRsbG",belkis0144
2022-10-05 23:08:44+00:00,1577797968710746113,"The Old fathers known as #Garugi 💀(Expatriates), were exiled to East Horn Island by the Maari (the brave).
They were bloodthirsty and were the first to hear delusions coming from the Sea of Tarnish...
#TWTR 
#ShaarMining 
#MetaRPG https://t.co/fA9lk7khyA",MaikanoBasheer
2022-10-05 22:45:00+00:00,1577791995241644032,"🖤 A community accustomed to living in the dark, completely forgetting their common language, and communicating with strange sounds like animals.

😖While the sons have bright eyes; they have darkness in their pupils, like huge, dark hollows

#Garugi #TWTR #ShaarMining #MetaRPG https://t.co/ovduT4FigC",heymen33
2022-10-05 22:41:32+00:00,1577791125414346753,"#Garugi (Expatriate) are known as Oldhorned in common language.
They walked with Eastern Sons during the Period of Walks, They believed in Urkert Donakit, and lay curses &amp; inflame dark charm on Aya shaar and they were exiled for their deeds.
#Garugi #TWTR #MetaRPG #ShaarMining https://t.co/i8kJLRUL25",FUgwunze
2022-10-05 22:40:58+00:00,1577790981478432769,Fire everyone and move #TWTR corporate headquarters to Tampa. @elonmusk,ULTRAMAGATESLA
2022-10-05 22:39:00+00:00,1577790484994400256,"🔹 Elon Musk agrees original deal 
🔹 Have 'Bot' numbers been revealed?
🔹 #TWTR share price rockets 
🔹 Why the delay? https://t.co/ZBbJrZC8dA",IGcom
2022-10-05 22:35:00+00:00,1577789480496291840,"#twtr @elonmusk Under merger agreement “Parent fails to consummate the Merger as required pursuant to the Merger Agreement, including because the equity, debt and/or margin loan financing is not funded, Parent will be required to pay Twitter a termination fee of $1.0 billion.”",Paperviewr
2022-10-05 22:34:16+00:00,1577789294273613824,@shaargame  The #Garugi Expatriate were ones peaceful people in the period of works but were later exiled to East horn island by Eastern Sons due to diabolic practice and bloodthirstiness. #ShaarMining #MetaRPG #NFTs #TWTR https://t.co/83jjmH7m75,Boost_Mann
2022-10-05 22:11:43+00:00,1577783620882006016,"イーロン・マスク、まだまだ信用されてない値動き。
#TWTR https://t.co/XivYjMJRsx",basassang
